sensitivity_type,metric,metric_short,effect_percent,low_value,high_value
infection_rate,mean_EP_max,EPmax,-754.2252450054107,0.0735204380569714,0.6280301421287574
infection_rate,mean_PAS_at_T_opt,PAS,-773.4410126577254,0.0754067256892453,0.6586332684799118
infection_rate,mean_RT,RT,-410.1592996121863,2.3192370994204627,11.83180374275352
infection_rate,mean_RI,RI,-35.62914852889215,0.9680564220283386,0.6231461615800266
infection_rate,mean_RE,RE,-66.75616530591046,0.5954526022789052,0.1979512787825861
detection_rate,mean_EP_max,EPmax,55.56234377669139,0.2296389326570664,0.1020461594484667
detection_rate,mean_PAS_at_T_opt,PAS,45.87433161934067,0.24087420436963,0.1303747730711988
detection_rate,mean_RT,RT,38.21250495059446,5.21283842502255,3.220882283793936
detection_rate,mean_RI,RI,7.562126183587502,0.8722648134932651,0.9382265793447356
detection_rate,mean_RE,RE,18.65171102244908,0.4699745955364544,0.5576328989750242
