node_type,mean_EP_max,mean_PAS_at_T_opt,mean_PS_at_T_opt,mean_active_infectious,mean_affected_power_nodes,mean_affected_capacity,mean_RT,mean_RI,mean_RE
COMM_HUB,0.1991394745496003,0.2044367192184007,0.98,24.207083333333333,23.507083333333338,1807.3253333333337,4.519023531162643,0.8974093506640176,0.517876925521355
CYBER_PHYSICS_OVERLAP,0.2595615622219466,0.2760911227756264,0.95625,38.84666666666667,36.96375,2146.46425,5.7584787199336835,0.8553122559220561,0.465414243227186
POWER_CAPACITY,0.4197687649998187,0.4566967531281642,0.9333333333333332,63.055,59.03,3529.3083333333334,8.632639830584969,0.7475911664392558,0.3475055200413254
PHYSICS_IMPACT,0.4206915798060363,0.4521118485748131,0.9420833333333332,63.26,59.98291666666667,3776.2483333333334,8.595527288174695,0.7499773364915451,0.3483880424985431
POWER_DEGREE,0.4258145762363606,0.4670148828787369,0.9266666666666666,64.33333333333333,59.665,4199.313916666667,8.818315946799249,0.7422193553101336,0.339480302301734
RANDOM,0.5394983507097352,0.5841403040719265,0.9291666666666668,71.69,67.65583333333333,5094.26075,10.80598274394782,0.668893048793734,0.2564847030664891
NO_PROTECTION,0.7606397768612253,0.8370214452725196,0.9079166666666668,105.63875,98.04291666666668,7189.3088333333335,14.531414238718602,0.5057193939061955,0.1080525966651301
