time,strategy,active_I,PAS,affected_buses,remaining_PAS
4,CDP,,0.0077399380804944,,
4,CDP,,0.0,,
4,CDP,,0.0,,
4,CDP,,0.0,,
4,CDP,,0.0077399380804944,,
4,CDP,,0.0160662351064809,,
4,CDP,,0.0,,
4,CDP,,0.0077399380804944,,
4,CDP,,0.0,,
4,CDP,,0.0,,
4,CDP,,0.0077399380804944,,
4,CDP,,0.0,,
4,CDP,,0.0077399380804944,,
4,CDP,,0.0077399380804944,,
4,CDP,,0.0077399380804944,,
4,CDP,,0.0,,
4,CDP,,0.0077399380804944,,
4,CDP,,0.0,,
4,CDP,,0.0077399380804944,,
4,CDP,,0.0077399380804944,,
4,CDP,,0.0,,
4,CDP,,0.0077399380804944,,
4,CDP,,0.0,,
4,CDP,,0.0,,
4,CDP,,0.0,,
4,CDP,,0.0077399380804944,,
4,CDP,,0.0077399380804944,,
4,CDP,,0.0077399380804944,,
4,CDP,,0.0077399380804944,,
4,CDP,,0.0077399380804944,,
4,CDP,,0.0077399380804944,,
5,CDP,,0.0,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0,,
5,CDP,,0.0,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0,,
5,CDP,,0.0,,
5,CDP,,0.0,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0160662351064809,,
5,CDP,,0.0,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0,,
5,CDP,,0.0,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0,,
5,CDP,,0.0,,
5,CDP,,0.0,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0077399380804944,,
5,CDP,,0.0077399380804944,,
6,CDP,,0.0,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0,,
6,CDP,,0.0,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0,,
6,CDP,,0.0,,
6,CDP,,0.0,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0160662351064809,,
6,CDP,,0.0,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0,,
6,CDP,,0.0,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0,,
6,CDP,,0.0,,
6,CDP,,0.0,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0077399380804944,,
6,CDP,,0.0077399380804944,,
7,CDP,,0.0,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0,,
7,CDP,,0.0,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0,,
7,CDP,,0.0,,
7,CDP,,0.0,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0160662351064809,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0,,
7,CDP,,0.0,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
7,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
