pattern,strategy_DRAD,attack_information_ratio,defense_budget,T_opt_DRAD,n_runs_DRAD,lookahead_runs_DRAD,infection_rate_DRAD,activation_rate_DRAD,detection_rate_DRAD,PAS_at_T_opt_DRAD,PS_at_T_opt_DRAD,EP_max_DRAD,mean_active_infectious_DRAD,mean_exposed_DRAD,mean_detected_DRAD,RT_DRAD,RI_DRAD,RE_DRAD,selected_policy_mode_DRAD,best_before_guard_mode_DRAD,safe_guard_mode_DRAD,strategy_CDP,T_opt_CDP,n_runs_CDP,lookahead_runs_CDP,infection_rate_CDP,activation_rate_CDP,detection_rate_CDP,PAS_at_T_opt_CDP,PS_at_T_opt_CDP,EP_max_CDP,mean_active_infectious_CDP,mean_exposed_CDP,mean_detected_CDP,RT_CDP,RI_CDP,RE_CDP,selected_policy_mode_CDP,best_before_guard_mode_CDP,safe_guard_mode_CDP,EP_improvement_vs_CDP_percent
DCAC,DRAD-CF-MPC,0.5,100,300,50,20,0.01,0.15,1e-05,0.0932845550763646,0.94,0.0876874817717827,10.86,0.52,0.06,2.2126992159927403,0.981742079648798,0.4533577224618177,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1003698193142773,0.96,0.0963550265417062,10.8,0.46,0.04,2.304807651085606,0.976777687468024,0.4498150903428613,CDP,CDP,,8.99542564713206
DCAC,DRAD-CF-MPC,1.0,0,210,50,20,0.01,0.15,1e-05,0.8952924553163655,0.94,0.8415749079973835,107.98,1.42,0.06,18.90584910632731,0.4180599040443623,0.1047075446836344,NP,NP,zero_budget,CDP,210,50,20,0.01,0.15,1e-05,0.8952924553163655,0.94,0.8415749079973835,107.98,1.42,0.06,18.90584910632731,0.4180599040443623,0.1047075446836344,CDP,CDP,,0.0
DCAC,DRAD-CF-MPC,1.0,20,300,50,20,0.01,0.15,1e-05,0.5182074460320226,0.94,0.4871149992701012,62.78,2.4,0.06,10.63865849619562,0.6819322356679308,0.4014937949733146,CDP,CDP,cdp_best,CDP,300,50,20,0.01,0.15,1e-05,0.532769085152835,0.94,0.5008029400436649,64.14,2.24,0.06,10.909504983842732,0.6724671702394027,0.3893590957059709,CDP,CDP,,2.7331989649148
DCAC,DRAD-CF-MPC,1.0,40,300,50,20,0.01,0.15,1e-05,0.2290033358510298,0.98,0.2244232691340092,28.34,0.96,0.02,4.938857376637714,0.881569143038913,0.5507119029635502,CDP,HYBRID,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.2056542231653072,1.0,0.2056542231653072,24.66,1.14,0.0,4.5372526384432845,0.8962201944607132,0.5673898405962092,CDP,CDP,,-9.126506462998307
DCAC,DRAD-CF-MPC,1.0,60,300,50,20,0.01,0.15,1e-05,0.1165641568108621,1.0,0.1165641568108621,13.88,0.62,0.0,2.8417136776116223,0.9514029244118036,0.5521474019932111,CDP_PDP_90,CDP_PDP_90,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1224941942143509,1.0,0.1224941942143509,14.32,0.66,0.0,2.935408268586744,0.9472680286621816,0.5484411286160307,CDP,CDP,,4.84107629873747
DCAC,DRAD-CF-MPC,1.0,80,300,50,20,0.01,0.15,1e-05,0.1103894646636104,1.0,0.1103894646636104,12.28,0.7,0.0,2.5896082911559897,0.9677147711340898,0.4942280751868831,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1085357900562464,1.0,0.1085357900562464,12.04,0.66,0.0,2.5629153768099484,0.9701901035502336,0.4952578944131964,CDP,CDP,,-1.707892490013004
DCAC,DRAD-CF-MPC,1.0,100,300,50,20,0.01,0.15,1e-05,0.0809261956015125,0.96,0.077689147777452,9.5,0.48,0.04,2.052040542819663,0.9875652054122648,0.4595369021992437,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1003698193142773,0.96,0.0963550265417062,10.8,0.46,0.04,2.304807651085606,0.976777687468024,0.4498150903428613,CDP,CDP,,19.371982380162763
DCDC,DRAD-CF-MPC,0.25,0,270,50,20,0.01,0.15,1e-05,0.8441589075503948,0.88,0.7428598386443475,112.7,0.58,0.12,17.883178151007897,0.4512967100922433,0.155841092449605,NP,NP,zero_budget,CDP,270,50,20,0.01,0.15,1e-05,0.8441589075503948,0.88,0.7428598386443475,112.7,0.58,0.12,17.883178151007897,0.4512967100922433,0.155841092449605,CDP,CDP,,0.0
DCDC,DRAD-CF-MPC,0.25,20,300,50,20,0.01,0.15,1e-05,0.4548112832043917,0.9,0.4093301548839526,60.36,2.22,0.1,9.459489867601688,0.7223376900083364,0.4543239306630069,CDP,CDP,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.4413087530512441,0.92,0.4060040528071446,57.92,2.48,0.08,9.208342806753144,0.7314673936806382,0.4655760391239633,CDP,CDP,,-0.8192287869549265
DCDC,DRAD-CF-MPC,0.25,40,300,50,20,0.01,0.15,1e-05,0.1981859708579583,0.96,0.19025853202364,24.54,1.1,0.04,4.408798698756884,0.9010825808092316,0.5727243065300298,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1825255221626102,0.96,0.1752245012761058,22.34,1.04,0.04,4.139438981196896,0.9106316158926052,0.5839103413124214,CDP,CDP,,-8.579867905435703
