pattern,strategy,attack_information_ratio,defense_budget,T_opt,n_runs,lookahead_runs,infection_rate,activation_rate,detection_rate,PAS_at_T_opt,PS_at_T_opt,EP_max,mean_active_infectious,mean_exposed,mean_detected,RT,RI,RE,selected_policy_mode,best_before_guard_mode,safe_guard_mode
DCAC,CP,0.5,40,300,50,20,0.01,0.15,1e-05,0.1671150901310627,0.96,0.1604304865258202,21.76,0.9,0.04,3.8743795502542793,0.9203114411641906,0.5949177927635266,CP,CP,
DCAC,CP,0.5,60,300,50,20,0.01,0.15,1e-05,0.1224941942143509,1.0,0.1224941942143509,14.32,0.66,0.0,2.935408268586744,0.9472680286621816,0.5484411286160307,CP,CP,
DCAC,CP,0.5,80,300,50,20,0.01,0.15,1e-05,0.1085357900562464,1.0,0.1085357900562464,12.04,0.66,0.0,2.5629153768099484,0.9701901035502336,0.4952578944131964,CP,CP,
DCAC,CP,0.5,100,300,50,20,0.01,0.15,1e-05,0.1003698193142773,0.96,0.0963550265417062,10.8,0.46,0.04,2.304807651085606,0.976777687468024,0.4498150903428613,CP,CP,
DCAC,CP,1.0,0,210,50,20,0.01,0.15,1e-05,0.8952924553163655,0.94,0.8415749079973835,107.98,1.42,0.06,18.90584910632731,0.4180599040443623,0.1047075446836344,CP,CP,
DCAC,CP,1.0,20,300,50,20,0.01,0.15,1e-05,0.532769085152835,0.94,0.5008029400436649,64.14,2.24,0.06,10.909504983842732,0.6724671702394027,0.3893590957059709,CP,CP,
DCAC,CP,1.0,40,300,50,20,0.01,0.15,1e-05,0.2056542231653072,1.0,0.2056542231653072,24.66,1.14,0.0,4.5372526384432845,0.8962201944607132,0.5673898405962092,CP,CP,
DCAC,CP,1.0,60,300,50,20,0.01,0.15,1e-05,0.1224941942143509,1.0,0.1224941942143509,14.32,0.66,0.0,2.935408268586744,0.9472680286621816,0.5484411286160307,CP,CP,
DCAC,CP,1.0,80,300,50,20,0.01,0.15,1e-05,0.1085357900562464,1.0,0.1085357900562464,12.04,0.66,0.0,2.5629153768099484,0.9701901035502336,0.4952578944131964,CP,CP,
DCAC,CP,1.0,100,300,50,20,0.01,0.15,1e-05,0.1003698193142773,0.96,0.0963550265417062,10.8,0.46,0.04,2.304807651085606,0.976777687468024,0.4498150903428613,CP,CP,
DCAC,DRAD,0.25,0,210,50,20,0.01,0.15,1e-05,0.8398174119327401,0.92,0.772632018978121,101.58,2.06,0.08,17.7963482386548,0.4541186822437189,0.1601825880672599,DRAD_SCORE,DRAD_SCORE,
DCAC,DRAD,0.25,20,300,50,20,0.01,0.15,1e-05,0.445841027015083,0.88,0.392340103773273,56.82,2.58,0.12,9.292643102480543,0.7278033324401961,0.4617991441540974,DRAD_SCORE,DRAD_SCORE,
DCAC,DRAD,0.25,40,300,50,20,0.01,0.15,1e-05,0.2964432392134225,1.0,0.2964432392134225,34.68,1.62,0.0,6.098823714470867,0.8460626515871336,0.5025405434189839,DRAD_SCORE,DRAD_SCORE,
DCAC,DRAD,0.25,60,270,50,20,0.01,0.15,1e-05,0.2202551443173238,0.94,0.2070398356582843,26.44,1.36,0.06,4.480031280213717,0.9032634771628636,0.4873405348016726,DRAD_SCORE,DRAD_SCORE,
DCAC,DRAD,0.25,80,300,50,20,0.01,0.15,1e-05,0.1546820895107982,1.0,0.1546820895107982,16.5,0.78,0.0,3.227422088955495,0.9510379593178784,0.4696210613828898,DRAD_SCORE,DRAD_SCORE,
DCAC,DRAD,0.25,100,300,50,20,0.01,0.15,1e-05,0.0988842475147404,0.92,0.0909735077135611,10.66,0.56,0.08,2.2854952176916252,0.9809437247644988,0.4505578762426298,DRAD_SCORE,DRAD_SCORE,
DCAC,DRAD,0.5,0,180,50,20,0.01,0.15,1e-05,0.8381115062503707,0.96,0.8045870460003558,96.68,2.8,0.04,17.762230125007413,0.455227520937259,0.1618884937496292,DRAD_SCORE,DRAD_SCORE,
DCAC,DRAD,0.5,20,300,50,20,0.01,0.15,1e-05,0.4123029288178875,0.94,0.3875647530888143,49.86,2.4,0.06,8.668834476012707,0.750803096268373,0.489747559318427,DRAD_SCORE,DRAD_SCORE,
