pattern,strategy,attack_information_ratio,defense_budget,T_opt,n_runs,lookahead_runs,infection_rate,activation_rate,detection_rate,PAS_at_T_opt,PS_at_T_opt,EP_max,mean_active_infectious,mean_exposed,mean_detected,RT,RI,RE,selected_policy_mode,best_before_guard_mode,safe_guard_mode,selected_policy
DCDC,DRAD-CF-MPC,0.25,80,300,50,20,0.01,0.15,1e-05,0.1442349332397819,1.0,0.1442349332397819,16.82,0.82,0.0,3.076983038652859,0.9470614209572632,0.47542503708901,CDP_PDP_90,CDP_PDP_90,switched_with_counterfactual_gain,CDP_PDP_90
DCDC,DRAD-CF-MPC,0.25,100,300,50,20,0.01,0.15,1e-05,0.0905611640685975,0.96,0.0869387175058536,12.1,0.7,0.04,2.177295132891768,0.9869434865417562,0.4547194179657012,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
DCDC,DRAD-CF-MPC,0.5,0,210,50,20,0.01,0.15,1e-05,0.8207214566662357,0.92,0.7550637401329369,106.32,2.0,0.08,17.414429133324713,0.4665310531669467,0.1792785433337643,NP,NP,zero_budget,NP
DCDC,DRAD-CF-MPC,0.5,20,300,50,20,0.01,0.15,1e-05,0.4843045740120988,0.96,0.4649323910516148,60.4,2.1,0.04,10.008065076625035,0.7044020268921358,0.4297461883232511,CDP,CDP,switched_with_counterfactual_gain,CDP
DCDC,DRAD-CF-MPC,0.5,40,300,50,20,0.01,0.15,1e-05,0.1721698479156792,0.94,0.1618396570407385,24.36,0.94,0.06,3.961321384149685,0.9173648125572054,0.5913072514888005,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP
DCDC,DRAD-CF-MPC,0.5,60,300,50,20,0.01,0.15,1e-05,0.1071230780001356,1.0,0.1071230780001356,11.96,0.54,0.0,2.6925446324021425,0.959466987489001,0.5580480762499151,CDP,CDP_PHYSICS_90,switched_with_counterfactual_gain,CDP
DCDC,DRAD-CF-MPC,0.5,80,300,50,20,0.01,0.15,1e-05,0.1222748788133909,1.0,0.1222748788133909,15.26,0.98,0.0,2.760758254912829,0.9646663588579636,0.487625067325894,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
DCDC,DRAD-CF-MPC,0.5,100,300,50,20,0.01,0.15,1e-05,0.0822081692061015,0.96,0.0789198424378574,11.22,0.66,0.04,2.0687061996793195,0.9914087175077898,0.4588959153969492,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
DCDC,DRAD-CF-MPC,1.0,0,210,50,20,0.01,0.15,1e-05,0.8476941342239211,0.94,0.7968324861704859,107.98,1.42,0.06,17.953882684478426,0.4489988127544512,0.1523058657760787,NP,NP,zero_budget,NP
DCDC,DRAD-CF-MPC,1.0,20,300,50,20,0.01,0.15,1e-05,0.497283204102969,0.94,0.4674462118567908,63.7,2.2,0.06,10.249467596315226,0.695484000497017,0.4189306632475258,CDP,CDP,switched_with_counterfactual_gain,CDP
