strategy,mean_EP_max,mean_PAS_at_T_opt,mean_PS_at_T_opt,mean_RT,mean_RI,mean_RE
DRAD-CF-MPC,0.2891650786530581,0.3062247479500295,0.9664444444444444,6.6383113036799335,0.8269998040984846,0.4436583691942281
CDP,0.298134465658484,0.3146703256057618,0.9675555555555556,6.764786507537105,0.8221859183770062,0.4385401020972134
DRAD,0.3482247808250886,0.3691233274594797,0.9571111111111112,7.657244382589463,0.7962897601947195,0.4020570748041337
CP,0.4650793158503853,0.4991824345344393,0.9406666666666668,9.696921833595,0.7164723987107389,0.319115184436592
PDP,0.4647672188297068,0.5033787439180649,0.932,9.770055097806535,0.7135907483249142,0.3159625933132122
RP,0.5668215812828035,0.6112313365638268,0.928,11.529387634915182,0.6465269835963688,0.2443576857201423
NP,0.786313641745084,0.8484246473160391,0.9266666666666666,17.968492946320783,0.4485239792445746,0.1515753526839608
