pattern,strategy,attack_information_ratio,defense_budget,T_opt,n_runs,lookahead_runs,infection_rate,activation_rate,detection_rate,PAS_at_T_opt,PS_at_T_opt,EP_max,mean_active_infectious,mean_exposed,mean_detected,RT,RI,RE,selected_policy_mode,best_before_guard_mode,safe_guard_mode,sensitivity_type,sensitivity_value
DCDC,CDP,0.25,60,300,30,10,0.01,0.15,5e-06,0.1589302901241468,1.0,0.1589302901241468,17.7,0.6,0.0,3.5110985839615205,0.9252961928855492,0.5256685686724082,CDP,CDP,,detection_rate,5e-06
DCDC,CDP,0.25,100,240,30,10,0.01,0.15,5e-06,0.0717438447079302,1.0,0.0717438447079302,7.4,0.2333333333333333,0.0,1.932669981203093,0.9917261115150298,0.4641280776460348,CDP,CDP,,detection_rate,5e-06
DCDC,CDP,0.5,20,300,30,10,0.01,0.15,5e-06,0.5144773153588218,0.9666666666666668,0.4973280715135277,63.833333333333336,1.7,0.0333333333333333,10.569278065674087,0.6849230783500991,0.4046022372009819,CDP,CDP,,detection_rate,5e-06
DCDC,CDP,0.5,60,300,30,10,0.01,0.15,5e-06,0.1331379187472749,1.0,0.1331379187472749,14.866666666666667,0.7,0.0,3.103579116206944,0.9427769644207282,0.5417888007829531,CDP,CDP,,detection_rate,5e-06
DCDC,CDP,0.5,100,240,30,10,0.01,0.15,5e-06,0.0717438447079302,1.0,0.0717438447079302,7.4,0.2333333333333333,0.0,1.932669981203093,0.9917261115150298,0.4641280776460348,CDP,CDP,,detection_rate,5e-06
DCDC,CDP,1.0,20,300,30,10,0.01,0.15,5e-06,0.5391769328446985,0.9333333333333332,0.5032318039883853,67.43333333333334,2.1,0.0666666666666666,11.028690950911392,0.668065132257524,0.384019222629418,CDP,CDP,,detection_rate,5e-06
DCDC,CDP,1.0,60,300,30,10,0.01,0.15,5e-06,0.1331379187472749,1.0,0.1331379187472749,14.866666666666667,0.7,0.0,3.103579116206944,0.9427769644207282,0.5417888007829531,CDP,CDP,,detection_rate,5e-06
DCDC,CDP,1.0,100,240,30,10,0.01,0.15,5e-06,0.0717438447079302,1.0,0.0717438447079302,7.4,0.2333333333333333,0.0,1.932669981203093,0.9917261115150298,0.4641280776460348,CDP,CDP,,detection_rate,5e-06
DCDC,DRAD-CF-MPC,0.25,20,300,30,10,0.01,0.15,5e-06,0.4331627918696852,0.8666666666666667,0.3754077529537272,58.766666666666666,2.7666666666666666,0.1333333333333333,9.056827928776148,0.7356409905579492,0.4723643401085957,CDP,CDP,fallback_to_cdp,detection_rate,5e-06
DCDC,DRAD-CF-MPC,0.25,60,300,30,10,0.01,0.15,5e-06,0.1620347622551169,1.0,0.1620347622551169,19.133333333333333,0.6333333333333333,0.0,3.5601492436308475,0.9294983779527632,0.5237282735905519,CDP,CDP_PHYSICS_90,switched_with_counterfactual_gain,detection_rate,5e-06
