stage,label,mean_EPmax,ep_reduction_vs_np_percent
NP,NP,0.786313641745084,0.0
RP,RP,0.5668215812828035,27.914059836880963
CDP,CDP,0.298134465658484,62.08453601328506
DRAD,DRAD,0.3482247808250886,55.71426434211858
NO_MPC,w/o MPC,0.34121479281060857,56.60576458353912
NO_PHYSICS,w/o physics,0.318081586518364,59.54774664567205
NO_SAFE_GUARD,w/o SafeG,0.30651498337224165,61.018737676738525
DRAD-CF-MPC,Full DRAD-CF,0.2891650786530581,63.22522422333824
